Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
FUSCCTNBC083.TT_WES	/cromwell_inputs/a4a014e6/FUSCCTNBC083.TT_WES.sorted.bam	130302838.0	130084325.0	13454690878.0	13453497380.0	4003.6498	179.0	57.7313	0.0051	222.5499	99.83230372925568
FUSCCTNBC083.WBC_WES	/cromwell_inputs/e55b7772/FUSCCTNBC083.WBC_WES.sorted.bam	59896146.0	59790197.0	6066034292.0	6064955934.0	2662.5783	207.0	57.8248	0.0072	100.3364	99.8231121581679
FUSCCTNBC330.TT_WES	/cromwell_inputs/a297091b/FUSCCTNBC330.TT_WES.sorted.bam	118987166.0	118766674.0	12247320294.0	12245633551.0	4663.7862	188.0	57.7382	0.0094	202.5792	99.81469261987466
FUSCCTNBC330.WBC_WES	/cromwell_inputs/1fcddb3c/FUSCCTNBC330.WBC_WES.sorted.bam	65332864.0	65281786.0	6796341458.0	6795558834.0	4547.3445	179.0	57.8372	0.0038	112.4162	99.92181882612708
FUSCCTNBC467.TT_WES	/cromwell_inputs/ccb92350/FUSCCTNBC467.TT_WES.sorted.bam	177340121.0	177216214.0	17501061093.0	17499235146.0	3692.6766	194.0	57.7901	0.0045	289.4797	99.93013030593342
FUSCCTNBC467.WBC_WES	/cromwell_inputs/3b864089/FUSCCTNBC467.WBC_WES.sorted.bam	55475867.0	55412956.0	5876698126.0	5875669577.0	3092.2013	194.0	57.8402	0.0065	97.2047	99.88659753618631
Quartet_DNA_ILM_XTen_NVG_LCL5_1_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-0/Quartet_DNA_ILM_XTen_NVG_LCL5_1_20170531.sorted.deduped.bam	5165606.0	5162443.0	768920315.0	768794864.0	21675.4565	236.0	11.9341	0.0032	0.2474	99.93876807483963
Quartet_DNA_ILM_XTen_NVG_LCL5_2_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-4/Quartet_DNA_ILM_XTen_NVG_LCL5_2_20170531.sorted.deduped.bam	5165606.0	5162443.0	768920315.0	768794864.0	21675.4565	236.0	11.9341	0.0032	0.2474	99.93876807483963
Quartet_DNA_ILM_XTen_NVG_LCL5_3_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-8/Quartet_DNA_ILM_XTen_NVG_LCL5_3_20170531.sorted.deduped.bam	5165606.0	5162443.0	768920315.0	768794864.0	21675.4565	236.0	11.9341	0.0032	0.2474	99.93876807483963
Quartet_DNA_ILM_XTen_NVG_LCL6_1_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-1/Quartet_DNA_ILM_XTen_NVG_LCL6_1_20170531.sorted.deduped.bam	5165606.0	5162443.0	768920315.0	768794864.0	21675.4565	236.0	11.9341	0.0032	0.2474	99.93876807483963
Quartet_DNA_ILM_XTen_NVG_LCL6_2_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-5/Quartet_DNA_ILM_XTen_NVG_LCL6_2_20170531.sorted.deduped.bam	5165606.0	5162443.0	768920315.0	768794864.0	21675.4565	236.0	11.9341	0.0032	0.2474	99.93876807483963
Quartet_DNA_ILM_XTen_NVG_LCL6_3_20170531	/cromwell_inputs/choppy-cromwell-result/test-choppy/Quartet_wgs_test_renluyao_20210421/52d73f1f-afd5-4c19-b384-0e9bf4b4c2f4/call-Dedup/shard-9/Quartet_DNA_ILM_XTen_NVG_LCL6_3_20170531.sorted.deduped.bam	5165606.0	5162443.0	768920315.0	768794864.0	21675.4565	236.0	11.9341	0.0032	0.2474	99.93876807483963
