Sample	variant_calling_qc_details_SNV_number	variant_calling_qc_details_SNV_precision	variant_calling_qc_details_SNV_recall	variant_calling_qc_details_SNV_F1_score	variant_calling_qc_details_INDEL_number	variant_calling_qc_details_INDEL_precision	variant_calling_qc_details_INDEL_recall	variant_calling_qc_details_INDEL_F1_score
Quartet_DNA_BGI_SEQ2000_BGI_LCL5_3_20180518_hc	3899532	1.0	1.0	1.0	918425	0.97	0.97	0.97
Quartet_DNA_BGI_SEQ2000_BGI_LCL6_3_20180518_hc	3902077	1.0	1.0	1.0	922621	0.98	0.97	0.974974358974359
Quartet_DNA_BGI_SEQ2000_BGI_LCL7_3_20180518_hc	3881226	1.0	1.0	1.0	923368	0.97	0.97	0.97
Quartet_DNA_BGI_SEQ2000_BGI_LCL8_3_20180518_hc	3893183	1.0	1.0	1.0	932540	0.97	0.97	0.97
Quartet_DNA_WES_ILM_XTen_ARD_LCL5_1_20170531_hc	404029	0.87	0.09	0.163125	61301	0.8	0.07	0.12873563218390804
Quartet_DNA_WES_ILM_XTen_ARD_LCL5_2_20170531_hc	404029	0.87	0.09	0.163125	61301	0.8	0.07	0.12873563218390804
Quartet_DNA_WES_ILM_XTen_ARD_LCL6_1_20170531_hc	516212	0.85	0.11	0.19479166666666667	78624	0.77	0.09	0.16116279069767442
Quartet_DNA_WES_ILM_XTen_ARD_LCL6_2_20170531_hc	516212	0.85	0.11	0.19479166666666667	78624	0.77	0.09	0.16116279069767442
Quartet_DNA_WES_ILM_XTen_ARD_LCL7_1_20170531_hc	410793	0.87	0.09	0.163125	62774	0.8	0.07	0.12873563218390804
Quartet_DNA_WES_ILM_XTen_ARD_LCL7_2_20170531_hc	410793	0.87	0.09	0.163125	62774	0.8	0.07	0.12873563218390804
Quartet_DNA_WES_ILM_XTen_ARD_LCL8_1_20170531_hc	378171	0.87	0.09	0.163125	60475	0.79	0.07	0.1286046511627907
Quartet_DNA_WES_ILM_XTen_ARD_LCL8_2_20170531_hc	378171	0.87	0.09	0.163125	60475	0.79	0.07	0.1286046511627907
