Module	Section	Sample Name	Source
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130778_combined_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-0/R20022112-Nova123-B130778_combined_R1_fastqc/fastqc_data.txt
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130778_combined_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-0/R20022112-Nova123-B130778_combined_R2_fastqc/fastqc_data.txt
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B132148_combined_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-1/R20022112-Nova123-B132148_combined_R2_fastqc/fastqc_data.txt
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B132148_combined_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-1/R20022112-Nova123-B132148_combined_R1_fastqc/fastqc_data.txt
Pre-alignment Quality Control	all_sections	WEYU_201808202902_2	/Users/yaqing/Documents/Program/quartet-dna/app-output/call-fastqc/shard-9/WEYU_201808202902_2_fastqc.zip
Pre-alignment Quality Control	all_sections	WEYU_201808202902_1	/Users/yaqing/Documents/Program/quartet-dna/app-output/call-fastqc/shard-9/WEYU_201808202902_1_fastqc.zip
Pre-alignment Quality Control	all_sections	ZXQI_201808201302_2	/Users/yaqing/Documents/Program/quartet-dna/app-output/call-fastqc/shard-7/ZXQI_201808201302_2_fastqc.zip
Pre-alignment Quality Control	all_sections	ZXQI_201808201302_1	/Users/yaqing/Documents/Program/quartet-dna/app-output/call-fastqc/shard-7/ZXQI_201808201302_1_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC330.TT_WES_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-23/FUSCCTNBC330.TT_WES_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC330.TT_WES_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-23/FUSCCTNBC330.TT_WES_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC467.WBC_WES_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-24/FUSCCTNBC467.WBC_WES_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC467.WBC_WES_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-24/FUSCCTNBC467.WBC_WES_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC467.TT_WES_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-25/FUSCCTNBC467.TT_WES_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC467.TT_WES_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-25/FUSCCTNBC467.TT_WES_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC330.WBC_WES_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-22/FUSCCTNBC330.WBC_WES_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC330.WBC_WES_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-22/FUSCCTNBC330.WBC_WES_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B132159_combined_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-9/R20022112-Nova123-B132159_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B132159_combined_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-9/R20022112-Nova123-B132159_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130362_combined_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-7/R20022112-Nova123-B130362_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130362_combined_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-7/R20022112-Nova123-B130362_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130128_combined_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-6/R20022112-Nova123-B130128_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130128_combined_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-6/R20022112-Nova123-B130128_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130774_combined_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-8/R20022112-Nova123-B130774_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130774_combined_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-8/R20022112-Nova123-B130774_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130331_combined_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-11/R20022112-Nova123-B130331_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R20022112-Nova123-B130331_combined_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-11/R20022112-Nova123-B130331_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC083.WBC_WES_R2	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-20/FUSCCTNBC083.WBC_WES_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	FUSCCTNBC083.WBC_WES_R1	/Users/yaqing/Documents/Program/quartet-dna/choppy_app_picture/dnaseq_test_data/call-fastqc/shard-20/FUSCCTNBC083.WBC_WES_R1_fastqc.zip
