Module	Section	Sample Name	Source
Pre-alignment Quality Control	all_sections	R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_F7/R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_F7/R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_D5/R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_D5/R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_M8/R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_M8/R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_D6/R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-fastqc_D6/R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6_R2_fastqc.zip
Post-alignment Quality Control	genome_results	R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_D5/R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_F7/R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_M8/R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_D6/R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6.sorted.deduped/genome_results.txt
Post-alignment Quality Control	coverage_histogram	R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_D5/R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_F7/R21045930-pool-1-dVF1-F7-1_combined_test_qdp_wes_rly_20221109_2_LCL7.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_M8/R21045933-pool-4-dVF1-M8-1_combined_test_qdp_wes_rly_20221109_2_LCL8.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_D6/R21045930-pool-1-dVF1-D6-1_combined_test_qdp_wes_rly_20221109_2_LCL6.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	insert_size_histogram	R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wes/call-qualimap_D5/R21045930-pool-1-dVF1-D5-1_combined_test_qdp_wes_rly_20221109_2_LCL5.sorted.deduped/raw_data_qualimapReport/insert_size_histogram.txt
