Module	Section	Sample Name	Source
Pre-alignment Quality Control	all_sections	LCL7_F7_DNA_R1_FIMM_S5_L004_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_F7/LCL7_F7_DNA_R1_FIMM_S5_L004_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	LCL7_F7_DNA_R1_FIMM_S5_L004_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_F7/LCL7_F7_DNA_R1_FIMM_S5_L004_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	LCL5_D5_DNA_R1_FIMM_S3_L004_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_D5/LCL5_D5_DNA_R1_FIMM_S3_L004_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	LCL5_D5_DNA_R1_FIMM_S3_L004_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_D5/LCL5_D5_DNA_R1_FIMM_S3_L004_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	LCL8_M8_DNA_R1_FIMM_S6_L004_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_M8/LCL8_M8_DNA_R1_FIMM_S6_L004_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	LCL8_M8_DNA_R1_FIMM_S6_L004_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_M8/LCL8_M8_DNA_R1_FIMM_S6_L004_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	LCL6_D6_DNA_R1_FIMM_S4_L004_R1	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_D6/LCL6_D6_DNA_R1_FIMM_S4_L004_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	LCL6_D6_DNA_R1_FIMM_S4_L004_R2	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-fastqc_D6/LCL6_D6_DNA_R1_FIMM_S4_L004_R2_fastqc.zip
Post-alignment Quality Control	genome_results	LCL5_D5_DNA_R1_FIMM_S3_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D5/LCL5_D5_DNA_R1_FIMM_S3_L004.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	LCL7_F7_DNA_R1_FIMM_S5_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_F7/LCL7_F7_DNA_R1_FIMM_S5_L004.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	LCL8_M8_DNA_R1_FIMM_S6_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_M8/LCL8_M8_DNA_R1_FIMM_S6_L004.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	LCL6_D6_DNA_R1_FIMM_S4_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D6/LCL6_D6_DNA_R1_FIMM_S4_L004.sorted.deduped/genome_results.txt
Post-alignment Quality Control	coverage_histogram	LCL5_D5_DNA_R1_FIMM_S3_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D5/LCL5_D5_DNA_R1_FIMM_S3_L004.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	LCL7_F7_DNA_R1_FIMM_S5_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_F7/LCL7_F7_DNA_R1_FIMM_S5_L004.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	LCL8_M8_DNA_R1_FIMM_S6_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_M8/LCL8_M8_DNA_R1_FIMM_S6_L004.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	LCL6_D6_DNA_R1_FIMM_S4_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D6/LCL6_D6_DNA_R1_FIMM_S4_L004.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	insert_size_histogram	LCL5_D5_DNA_R1_FIMM_S3_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D5/LCL5_D5_DNA_R1_FIMM_S3_L004.sorted.deduped/raw_data_qualimapReport/insert_size_histogram.txt
Post-alignment Quality Control	insert_size_histogram	LCL7_F7_DNA_R1_FIMM_S5_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_F7/LCL7_F7_DNA_R1_FIMM_S5_L004.sorted.deduped/raw_data_qualimapReport/insert_size_histogram.txt
Post-alignment Quality Control	insert_size_histogram	LCL8_M8_DNA_R1_FIMM_S6_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_M8/LCL8_M8_DNA_R1_FIMM_S6_L004.sorted.deduped/raw_data_qualimapReport/insert_size_histogram.txt
Post-alignment Quality Control	insert_size_histogram	LCL6_D6_DNA_R1_FIMM_S4_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D6/LCL6_D6_DNA_R1_FIMM_S4_L004.sorted.deduped/raw_data_qualimapReport/insert_size_histogram.txt
Post-alignment Quality Control	mapped_gc_distribution	LCL5_D5_DNA_R1_FIMM_S3_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D5/LCL5_D5_DNA_R1_FIMM_S3_L004.sorted.deduped/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Post-alignment Quality Control	mapped_gc_distribution	LCL7_F7_DNA_R1_FIMM_S5_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_F7/LCL7_F7_DNA_R1_FIMM_S5_L004.sorted.deduped/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Post-alignment Quality Control	mapped_gc_distribution	LCL8_M8_DNA_R1_FIMM_S6_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_M8/LCL8_M8_DNA_R1_FIMM_S6_L004.sorted.deduped/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
Post-alignment Quality Control	mapped_gc_distribution	LCL6_D6_DNA_R1_FIMM_S4_L004	/Users/Yaqing/Projects/Quartet_MS7_DataPortal/QCPlugins/QCtools-dna/test_data_wgs/call-qualimap_D6/LCL6_D6_DNA_R1_FIMM_S4_L004.sorted.deduped/raw_data_qualimapReport/mapped_reads_gc-content_distribution.txt
