Module	Section	Sample Name	Source
Pre-alignment Quality Control	all_sections	R18022884LU01-PGx-LCL7-1_combined_R2	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_F7/R18022884LU01-PGx-LCL7-1_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R18022884LU01-PGx-LCL7-1_combined_R1	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_F7/R18022884LU01-PGx-LCL7-1_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R18022878LU05-PGx-LCL5-1_combined_R1	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_D5/R18022878LU05-PGx-LCL5-1_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R18022878LU05-PGx-LCL5-1_combined_R2	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_D5/R18022878LU05-PGx-LCL5-1_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R18022887LU01-PGx-LCL8-1_combined_R1	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_M8/R18022887LU01-PGx-LCL8-1_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R18022887LU01-PGx-LCL8-1_combined_R2	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_M8/R18022887LU01-PGx-LCL8-1_combined_R2_fastqc.zip
Pre-alignment Quality Control	all_sections	R18022881LU05-PGx-LCL6-1_combined_R1	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_D6/R18022881LU05-PGx-LCL6-1_combined_R1_fastqc.zip
Pre-alignment Quality Control	all_sections	R18022881LU05-PGx-LCL6-1_combined_R2	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-fastqc_D6/R18022881LU05-PGx-LCL6-1_combined_R2_fastqc.zip
Post-alignment Quality Control	genome_results	R18022878LU05-PGx-LCL5-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_D5/R18022878LU05-PGx-LCL5-1_combined.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	R18022884LU01-PGx-LCL7-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_F7/R18022884LU01-PGx-LCL7-1_combined.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	R18022887LU01-PGx-LCL8-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_M8/R18022887LU01-PGx-LCL8-1_combined.sorted.deduped/genome_results.txt
Post-alignment Quality Control	genome_results	R18022881LU05-PGx-LCL6-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_D6/R18022881LU05-PGx-LCL6-1_combined.sorted.deduped/genome_results.txt
Post-alignment Quality Control	coverage_histogram	R18022878LU05-PGx-LCL5-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_D5/R18022878LU05-PGx-LCL5-1_combined.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	R18022884LU01-PGx-LCL7-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_F7/R18022884LU01-PGx-LCL7-1_combined.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	R18022887LU01-PGx-LCL8-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_M8/R18022887LU01-PGx-LCL8-1_combined.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	coverage_histogram	R18022881LU05-PGx-LCL6-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_D6/R18022881LU05-PGx-LCL6-1_combined.sorted.deduped/raw_data_qualimapReport/coverage_histogram.txt
Post-alignment Quality Control	insert_size_histogram	R18022878LU05-PGx-LCL5-1_combined	/Users/yaqing/Master/Projects/Quartet/QC Report/dna_test/call-qualimap_D5/R18022878LU05-PGx-LCL5-1_combined.sorted.deduped/raw_data_qualimapReport/insert_size_histogram.txt
