sample	mendelian	f1	type	file
Quartet_DNA_BGI_SEQ2000_BGI_20180530	0.793561194	0.967369167	INDEL	history
Quartet_DNA_BGI_T7_WGE_20191105	0.881189241	0.971571	INDEL	history
Quartet_DNA_ILM_Nova_ARD_20181108	0.88344332	0.976925583	INDEL	history
Quartet_DNA_ILM_Nova_ARD_20190111	0.877788212	0.978916083	INDEL	history
Quartet_DNA_ILM_Nova_BRG_20180930	0.891165771	0.981508667	INDEL	history
Quartet_DNA_ILM_Nova_WUX_20190917	0.782929671	0.952001083	INDEL	history
Quartet_DNA_ILM_XTen_ARD_20170403	0.735413824	0.956039833	INDEL	history
Quartet_DNA_ILM_XTen_NVG_20170329	0.697136124	0.947984333	INDEL	history
Quartet_DNA_ILM_XTen_WUX_20170216	0.803260497	0.9724905	INDEL	history
Quartet_DNA_BGI_SEQ2000_BGI_20180530	0.950266076	0.996256583	SNV	history
Quartet_DNA_BGI_T7_WGE_20191105	0.949132955	0.995711583	SNV	history
Quartet_DNA_ILM_Nova_ARD_20181108	0.946435087	0.996096583	SNV	history
Quartet_DNA_ILM_Nova_ARD_20190111	0.948690774	0.99737175	SNV	history
Quartet_DNA_ILM_Nova_BRG_20180930	0.947146144	0.997535167	SNV	history
Quartet_DNA_ILM_Nova_WUX_20190917	0.91996312	0.979700333	SNV	history
Quartet_DNA_ILM_XTen_ARD_20170403	0.947825218	0.995966583	SNV	history
Quartet_DNA_ILM_XTen_NVG_20170329	0.945176561	0.995901	SNV	history
Quartet_DNA_ILM_XTen_WUX_20170216	0.945597775	0.99673	SNV	history
