sample	platform	library	type	mcr
BGI_SEQ2000_BGI_1_20180518	BGI_SEQ2000	PCR	INDEL	0.810005277
BGI_SEQ2000_BGI_1_20180518	BGI_SEQ2000	PCR	SNV	0.969747543
BGI_SEQ2000_BGI_2_20180530	BGI_SEQ2000	PCR	INDEL	0.801078843
BGI_SEQ2000_BGI_2_20180530	BGI_SEQ2000	PCR	SNV	0.968742252
BGI_SEQ2000_BGI_3_20180530	BGI_SEQ2000	PCR	INDEL	0.804889011
BGI_SEQ2000_BGI_3_20180530	BGI_SEQ2000	PCR	SNV	0.969157925
BGI_SEQ2000_WGE_1_20190402	BGI_SEQ2000	PCR-free	INDEL	0.898112263
BGI_SEQ2000_WGE_1_20190402	BGI_SEQ2000	PCR-free	SNV	0.968816369
BGI_SEQ2000_WGE_2_20190402	BGI_SEQ2000	PCR	INDEL	0.826844356
BGI_SEQ2000_WGE_2_20190402	BGI_SEQ2000	PCR	SNV	0.966904839
BGI_SEQ500_BGI_1_20180328	BGI_SEQ500	PCR	INDEL	0.802455512
BGI_SEQ500_BGI_1_20180328	BGI_SEQ500	PCR	SNV	0.969454616
BGI_SEQ500_BGI_2_20180328	BGI_SEQ500	PCR	INDEL	0.794189177
BGI_SEQ500_BGI_2_20180328	BGI_SEQ500	PCR	SNV	0.965007246
BGI_SEQ500_BGI_3_20180328	BGI_SEQ500	PCR	INDEL	0.794198617
BGI_SEQ500_BGI_3_20180328	BGI_SEQ500	PCR	SNV	0.968425707
BGI_T7_WGE_1_20191105	BGI_SEQT7	PCR-free	INDEL	0.857346328
BGI_T7_WGE_1_20191105	BGI_SEQT7	PCR-free	SNV	0.967991038
BGI_T7_WGE_2_20191105	BGI_SEQT7	PCR-free	INDEL	0.860931144
BGI_T7_WGE_2_20191105	BGI_SEQT7	PCR-free	SNV	0.968153456
BGI_T7_WGE_3_20191105	BGI_SEQT7	PCR-free	INDEL	0.868274345
BGI_T7_WGE_3_20191105	BGI_SEQT7	PCR-free	SNV	0.968831607
ILM_Nova_ARD_1_20181108	ILM_Nova	PCR-free	INDEL	0.884526952
ILM_Nova_ARD_1_20181108	ILM_Nova	PCR-free	SNV	0.969544998
ILM_Nova_ARD_2_20181108	ILM_Nova	PCR-free	INDEL	0.862557399
ILM_Nova_ARD_2_20181108	ILM_Nova	PCR-free	SNV	0.966134149
ILM_Nova_ARD_3_20181108	ILM_Nova	PCR-free	INDEL	0.879199742
ILM_Nova_ARD_3_20181108	ILM_Nova	PCR-free	SNV	0.968017796
ILM_Nova_ARD_4_20190111	ILM_Nova	PCR-free	INDEL	0.889169033
ILM_Nova_ARD_4_20190111	ILM_Nova	PCR-free	SNV	0.970511092
ILM_Nova_ARD_5_20190111	ILM_Nova	PCR-free	INDEL	0.886253478
