sample_name	library	platform	sample	type	recall	precision	f1_Score
BGI_SEQ2000_BGI_LCL5_1_20180530	PCR	BGI_SEQ2000	LCL5	INDEL	0.966595	0.974041	0.970304
BGI_SEQ2000_BGI_LCL5_1_20180530	PCR	BGI_SEQ2000	LCL5	SNV	0.997048	0.99659	0.996819
BGI_SEQ2000_BGI_LCL5_2_20180530	PCR	BGI_SEQ2000	LCL5	INDEL	0.964924	0.973721	0.969302
BGI_SEQ2000_BGI_LCL5_2_20180530	PCR	BGI_SEQ2000	LCL5	SNV	0.997021	0.996638	0.996829
BGI_SEQ2000_BGI_LCL5_3_20180530	PCR	BGI_SEQ2000	LCL5	INDEL	0.97051	0.975364	0.972931
BGI_SEQ2000_BGI_LCL5_3_20180530	PCR	BGI_SEQ2000	LCL5	SNV	0.997311	0.996597	0.996954
BGI_SEQ2000_BGI_LCL6_1_20180530	PCR	BGI_SEQ2000	LCL6	INDEL	0.968985	0.975285	0.972125
BGI_SEQ2000_BGI_LCL6_1_20180530	PCR	BGI_SEQ2000	LCL6	SNV	0.997151	0.996562	0.996857
BGI_SEQ2000_BGI_LCL6_2_20180530	PCR	BGI_SEQ2000	LCL6	INDEL	0.965329	0.973394	0.969345
BGI_SEQ2000_BGI_LCL6_2_20180530	PCR	BGI_SEQ2000	LCL6	SNV	0.997051	0.996638	0.996844
BGI_SEQ2000_BGI_LCL6_3_20180530	PCR	BGI_SEQ2000	LCL6	INDEL	0.968165	0.974707	0.971425
BGI_SEQ2000_BGI_LCL6_3_20180530	PCR	BGI_SEQ2000	LCL6	SNV	0.99712	0.996543	0.996831
BGI_SEQ2000_BGI_LCL7_1_20180530	PCR	BGI_SEQ2000	LCL7	INDEL	0.97058	0.974191	0.972382
BGI_SEQ2000_BGI_LCL7_1_20180530	PCR	BGI_SEQ2000	LCL7	SNV	0.997126	0.996353	0.996739
BGI_SEQ2000_BGI_LCL7_2_20180530	PCR	BGI_SEQ2000	LCL7	INDEL	0.963142	0.971075	0.967092
BGI_SEQ2000_BGI_LCL7_2_20180530	PCR	BGI_SEQ2000	LCL7	SNV	0.996726	0.99633	0.996528
BGI_SEQ2000_BGI_LCL7_3_20180530	PCR	BGI_SEQ2000	LCL7	INDEL	0.958869	0.969658	0.964233
BGI_SEQ2000_BGI_LCL7_3_20180530	PCR	BGI_SEQ2000	LCL7	SNV	0.996421	0.996249	0.996335
BGI_SEQ2000_BGI_LCL8_1_20180530	PCR	BGI_SEQ2000	LCL8	INDEL	0.969377	0.97368	0.971524
BGI_SEQ2000_BGI_LCL8_1_20180530	PCR	BGI_SEQ2000	LCL8	SNV	0.996943	0.996378	0.996661
BGI_SEQ2000_BGI_LCL8_2_20180530	PCR	BGI_SEQ2000	LCL8	INDEL	0.966358	0.972641	0.96949
BGI_SEQ2000_BGI_LCL8_2_20180530	PCR	BGI_SEQ2000	LCL8	SNV	0.996987	0.996352	0.996669
BGI_SEQ2000_BGI_LCL8_3_20180530	PCR	BGI_SEQ2000	LCL8	INDEL	0.959689	0.97022	0.964925
BGI_SEQ2000_BGI_LCL8_3_20180530	PCR	BGI_SEQ2000	LCL8	SNV	0.996482	0.996435	0.996458
BGI_SEQ2000_WGE_LCL5_1_20190402	PCR-free	BGI_SEQ2000	LCL5	INDEL	0.980533	0.983575	0.982052
BGI_SEQ2000_WGE_LCL5_1_20190402	PCR-free	BGI_SEQ2000	LCL5	SNV	0.997703	0.997174	0.997439
BGI_SEQ2000_WGE_LCL5_2_20190402	PCR	BGI_SEQ2000	LCL5	INDEL	0.971461	0.97736	0.974402
BGI_SEQ2000_WGE_LCL5_2_20190402	PCR	BGI_SEQ2000	LCL5	SNV	0.997446	0.996956	0.997201
BGI_SEQ2000_WGE_LCL6_1_20190402	PCR-free	BGI_SEQ2000	LCL6	INDEL	0.987815	0.984999	0.986405
BGI_SEQ2000_WGE_LCL6_1_20190402	PCR-free	BGI_SEQ2000	LCL6	SNV	0.998399	0.99719	0.997794
BGI_SEQ2000_WGE_LCL6_2_20190402	PCR	BGI_SEQ2000	LCL6	INDEL	0.971695	0.977458	0.974568
BGI_SEQ2000_WGE_LCL6_2_20190402	PCR	BGI_SEQ2000	LCL6	SNV	0.997527	0.996915	0.997221
BGI_SEQ2000_WGE_LCL7_1_20190402	PCR-free	BGI_SEQ2000	LCL7	INDEL	0.983765	0.983638	0.983701
BGI_SEQ2000_WGE_LCL7_1_20190402	PCR-free	BGI_SEQ2000	LCL7	SNV	0.997922	0.996947	0.997434
BGI_SEQ2000_WGE_LCL7_2_20190402	PCR	BGI_SEQ2000	LCL7	INDEL	0.970706	0.975183	0.97294
BGI_SEQ2000_WGE_LCL7_2_20190402	PCR	BGI_SEQ2000	LCL7	SNV	0.99731	0.996662	0.996986
BGI_SEQ2000_WGE_LCL8_1_20190402	PCR-free	BGI_SEQ2000	LCL8	INDEL	0.9849	0.984045	0.984472
BGI_SEQ2000_WGE_LCL8_1_20190402	PCR-free	BGI_SEQ2000	LCL8	SNV	0.998145	0.997115	0.99763
BGI_SEQ2000_WGE_LCL8_2_20190402	PCR	BGI_SEQ2000	LCL8	INDEL	0.974557	0.976494	0.975525
BGI_SEQ2000_WGE_LCL8_2_20190402	PCR	BGI_SEQ2000	LCL8	SNV	0.997725	0.996868	0.997296
BGI_SEQ500_BGI_LCL5_1_20180328	PCR	BGI_SEQ500	LCL5	INDEL	0.974064	0.965665	0.969846
BGI_SEQ500_BGI_LCL5_1_20180328	PCR	BGI_SEQ500	LCL5	SNV	0.99723	0.995889	0.996559
BGI_SEQ500_BGI_LCL5_2_20180328	PCR	BGI_SEQ500	LCL5	INDEL	0.975881	0.967193	0.971518
BGI_SEQ500_BGI_LCL5_2_20180328	PCR	BGI_SEQ500	LCL5	SNV	0.997198	0.996193	0.996695
BGI_SEQ500_BGI_LCL5_3_20180328	PCR	BGI_SEQ500	LCL5	INDEL	0.972257	0.963855	0.968038
BGI_SEQ500_BGI_LCL5_3_20180328	PCR	BGI_SEQ500	LCL5	SNV	0.997252	0.995863	0.996557
BGI_SEQ500_BGI_LCL6_1_20180328	PCR	BGI_SEQ500	LCL6	INDEL	0.973486	0.96556	0.969507
BGI_SEQ500_BGI_LCL6_1_20180328	PCR	BGI_SEQ500	LCL6	SNV	0.997246	0.995931	0.996588
BGI_SEQ500_BGI_LCL6_2_20180328	PCR	BGI_SEQ500	LCL6	INDEL	0.968485	0.96464	0.966559
BGI_SEQ500_BGI_LCL6_2_20180328	PCR	BGI_SEQ500	LCL6	SNV	0.996754	0.995793	0.996274
BGI_SEQ500_BGI_LCL6_3_20180328	PCR	BGI_SEQ500	LCL6	INDEL	0.972736	0.964879	0.968792
BGI_SEQ500_BGI_LCL6_3_20180328	PCR	BGI_SEQ500	LCL6	SNV	0.997096	0.995877	0.996486
BGI_SEQ500_BGI_LCL7_1_20180328	PCR	BGI_SEQ500	LCL7	INDEL	0.971023	0.962163	0.966573
BGI_SEQ500_BGI_LCL7_1_20180328	PCR	BGI_SEQ500	LCL7	SNV	0.996966	0.995751	0.996358
BGI_SEQ500_BGI_LCL7_2_20180328	PCR	BGI_SEQ500	LCL7	INDEL	0.96802	0.961759	0.964879
BGI_SEQ500_BGI_LCL7_2_20180328	PCR	BGI_SEQ500	LCL7	SNV	0.996776	0.995643	0.996209
BGI_SEQ500_BGI_LCL7_3_20180328	PCR	BGI_SEQ500	LCL7	INDEL	0.970113	0.962762	0.966423
BGI_SEQ500_BGI_LCL7_3_20180328	PCR	BGI_SEQ500	LCL7	SNV	0.996857	0.99597	0.996413
BGI_SEQ500_BGI_LCL8_1_20180328	PCR	BGI_SEQ500	LCL8	INDEL	0.970553	0.962748	0.966635
BGI_SEQ500_BGI_LCL8_1_20180328	PCR	BGI_SEQ500	LCL8	SNV	0.997024	0.995889	0.996456
BGI_SEQ500_BGI_LCL8_2_20180328	PCR	BGI_SEQ500	LCL8	INDEL	0.968245	0.960416	0.964315
BGI_SEQ500_BGI_LCL8_2_20180328	PCR	BGI_SEQ500	LCL8	SNV	0.996974	0.995736	0.996355
BGI_SEQ500_BGI_LCL8_3_20180328	PCR	BGI_SEQ500	LCL8	INDEL	0.970718	0.963563	0.967127
BGI_SEQ500_BGI_LCL8_3_20180328	PCR	BGI_SEQ500	LCL8	SNV	0.996977	0.995934	0.996455
BGI_T5_SZ_LCL5_1_20200716	PCR-free	BGI_SEQT5	LCL5	INDEL	0.986631	0.979675	0.983141
BGI_T5_SZ_LCL5_1_20200716	PCR-free	BGI_SEQT5	LCL5	SNV	0.99789	0.995882	0.996885
BGI_T5_SZ_LCL5_2_20200716	PCR-free	BGI_SEQT5	LCL5	INDEL	0.987905	0.980191	0.984033
BGI_T5_SZ_LCL5_2_20200716	PCR-free	BGI_SEQT5	LCL5	SNV	0.998152	0.995849	0.996999
BGI_T5_SZ_LCL5_3_20200716	PCR-free	BGI_SEQT5	LCL5	INDEL	0.987734	0.980014	0.983859
BGI_T5_SZ_LCL5_3_20200716	PCR-free	BGI_SEQT5	LCL5	SNV	0.998077	0.995911	0.996993
BGI_T5_SZ_LCL6_1_20200716	PCR-free	BGI_SEQT5	LCL6	INDEL	0.987204	0.979755	0.983465
BGI_T5_SZ_LCL6_1_20200716	PCR-free	BGI_SEQT5	LCL6	SNV	0.998029	0.995795	0.996911
BGI_T5_SZ_LCL6_2_20200716	PCR-free	BGI_SEQT5	LCL6	INDEL	0.987385	0.980045	0.983701
BGI_T5_SZ_LCL6_2_20200716	PCR-free	BGI_SEQT5	LCL6	SNV	0.998027	0.995823	0.996924
BGI_T5_SZ_LCL6_3_20200716	PCR-free	BGI_SEQT5	LCL6	INDEL	0.987847	0.98013	0.983973
BGI_T5_SZ_LCL6_3_20200716	PCR-free	BGI_SEQT5	LCL6	SNV	0.998133	0.995875	0.997002
BGI_T5_SZ_LCL7_1_20200716	PCR-free	BGI_SEQT5	LCL7	INDEL	0.98537	0.977851	0.981596
BGI_T5_SZ_LCL7_1_20200716	PCR-free	BGI_SEQT5	LCL7	SNV	0.997732	0.995687	0.996709
BGI_T5_SZ_LCL7_2_20200716	PCR-free	BGI_SEQT5	LCL7	INDEL	0.98636	0.978136	0.982231
BGI_T5_SZ_LCL7_2_20200716	PCR-free	BGI_SEQT5	LCL7	SNV	0.997912	0.995619	0.996764
BGI_T5_SZ_LCL7_3_20200716	PCR-free	BGI_SEQT5	LCL7	INDEL	0.986858	0.978512	0.982667
BGI_T5_SZ_LCL7_3_20200716	PCR-free	BGI_SEQT5	LCL7	SNV	0.997979	0.995661	0.996819
BGI_T5_SZ_LCL8_1_20200716	PCR-free	BGI_SEQT5	LCL8	INDEL	0.984459	0.977583	0.981009
BGI_T5_SZ_LCL8_1_20200716	PCR-free	BGI_SEQT5	LCL8	SNV	0.997693	0.99579	0.996741
BGI_T5_SZ_LCL8_2_20200716	PCR-free	BGI_SEQT5	LCL8	INDEL	0.98628	0.978175	0.982211
BGI_T5_SZ_LCL8_2_20200716	PCR-free	BGI_SEQT5	LCL8	SNV	0.99797	0.995737	0.996852
BGI_T5_SZ_LCL8_3_20200716	PCR-free	BGI_SEQT5	LCL8	INDEL	0.986899	0.97854	0.982702
BGI_T5_SZ_LCL8_3_20200716	PCR-free	BGI_SEQT5	LCL8	SNV	0.998015	0.995743	0.996878
BGI_T7_WGE_LCL5_1_20191105	PCR-free	BGI_SEQT7	LCL5	INDEL	0.973339	0.981308	0.977307
BGI_T7_WGE_LCL5_1_20191105	PCR-free	BGI_SEQT7	LCL5	SNV	0.996367	0.996555	0.996461
BGI_T7_WGE_LCL5_2_20191105	PCR-free	BGI_SEQT7	LCL5	INDEL	0.970373	0.98021	0.975266
BGI_T7_WGE_LCL5_2_20191105	PCR-free	BGI_SEQT7	LCL5	SNV	0.99602	0.996534	0.996277
BGI_T7_WGE_LCL5_3_20191105	PCR-free	BGI_SEQT7	LCL5	INDEL	0.974499	0.981705	0.978089
BGI_T7_WGE_LCL5_3_20191105	PCR-free	BGI_SEQT7	LCL5	SNV	0.996553	0.996562	0.996557
BGI_T7_WGE_LCL6_1_20191105	PCR-free	BGI_SEQT7	LCL6	INDEL	0.968125	0.979716	0.973886
BGI_T7_WGE_LCL6_1_20191105	PCR-free	BGI_SEQT7	LCL6	SNV	0.995796	0.996553	0.996175
BGI_T7_WGE_LCL6_2_20191105	PCR-free	BGI_SEQT7	LCL6	INDEL	0.974773	0.982098	0.978422
BGI_T7_WGE_LCL6_2_20191105	PCR-free	BGI_SEQT7	LCL6	SNV	0.996605	0.996607	0.996606
BGI_T7_WGE_LCL6_3_20191105	PCR-free	BGI_SEQT7	LCL6	INDEL	0.975467	0.981831	0.978638
BGI_T7_WGE_LCL6_3_20191105	PCR-free	BGI_SEQT7	LCL6	SNV	0.996595	0.996574	0.996585
BGI_T7_WGE_LCL7_1_20191105	PCR-free	BGI_SEQT7	LCL7	INDEL	0.969204	0.979727	0.974437
BGI_T7_WGE_LCL7_1_20191105	PCR-free	BGI_SEQT7	LCL7	SNV	0.995609	0.996198	0.995903
BGI_T7_WGE_LCL7_2_20191105	PCR-free	BGI_SEQT7	LCL7	INDEL	0.974447	0.981183	0.977803
BGI_T7_WGE_LCL7_2_20191105	PCR-free	BGI_SEQT7	LCL7	SNV	0.996241	0.996238	0.996239
