seq	sample	group	batch	snv_D5-precision	snv_D5-recall	snv_D6-precision	snv_D6-recall	snv_F7-precision	snv_F7-recall	snv_M8-precision	snv_M8-recall	snv_mendelian	indel_D5-precision	indel_D5-recall	indel_D6-precision	indel_D6-recall	indel_F7-precision	indel_F7-recall	indel_M8-precision	indel_M8-recall	indel_mendelian
WES	000001-1	PCR-free	000001	0.9942	0.9931	0.9944	0.9936	0.9939	0.9937	0.9941	0.995	0.971355296	0.899	0.9381	0.9003	0.9412	0.8935	0.9366	0.893	0.9405	0.782450191
WES	000001-2	PCR-free	000001	0.9945999999999999	0.9945999999999999	0.9945999999999999	0.9947	0.9944	0.9937	0.9948999999999999	0.9961	0.971214511	0.8965000000000001	0.9408	0.8967	0.9384999999999999	0.8957999999999999	0.9393	0.9026000000000001	0.9451999999999999	0.788656313
WES	000001-3	PCR-free	000001	0.9943000000000001	0.9945	0.9943000000000001	0.9942	0.9942	0.9943000000000001	0.9944	0.9956999999999999	0.972199249	0.9055	0.9447	0.9	0.9414	0.8914	0.9351	0.8981	0.9431	0.783822658
WES	000002-1	PCR	000002	0.4072	0.6679999999999999	0.4072	0.6679999999999999	0.4075	0.6714	0.4061	0.6664	0.261643431	0.3947	0.5959	0.3926	0.5968	0.3931	0.6002000000000001	0.3899	0.5904	0.415701661
WES	000002-2	PCR	000002	0.4075	0.6681999999999999	0.4075	0.6683	0.4075	0.6717	0.4067	0.6662	0.261717924	0.3933	0.5965	0.39380000000000004	0.5965	0.3953	0.6015	0.38670000000000004	0.5874	0.411898
WES	000002-3	PCR	000002	0.4073	0.6679999999999999	0.40740000000000004	0.6679999999999999	0.4075	0.6715000000000001	0.4068	0.6666	0.262003611	0.3951	0.5979	0.3923	0.5948	0.3936	0.6023	0.3901	0.5911	0.409227507
WES	000003-1	PCR	000003	0.9948999999999999	0.9863	0.9947	0.9881	0.9948	0.991	0.9945	0.9873000000000001	0.96138936	0.9227	0.9151	0.9238	0.9212	0.9226000000000001	0.9312999999999999	0.9222	0.9206	0.779631474
WES	000003-2	PCR	000003	0.9953	0.9883	0.9948999999999999	0.9886	0.9951000000000001	0.9899	0.9948999999999999	0.9869	0.962403463	0.9238	0.927	0.9337000000000001	0.9279999999999999	0.9231	0.9257	0.9255	0.9137000000000001	0.789696366
WES	000003-3	PCR	000003	0.9945	0.986	0.9948	0.9871	0.9952	0.9865	0.9945999999999999	0.9875	0.961660118	0.9307	0.9170999999999999	0.9279999999999999	0.9207	0.9265000000000001	0.9154000000000001	0.9273	0.9167000000000001	0.788042794
WES	101021-1	PCR	101021	0.9945999999999999	0.9976	0.9940000000000001	0.9973000000000001	0.9945	0.9979	0.9943000000000001	0.9972	0.97712845	0.9369	0.9591	0.9351	0.9606999999999999	0.9334	0.9601999999999999	0.9306	0.9587	0.848181339
WES	101021-2	PCR	101021	0.9944	0.9975	0.9945999999999999	0.9976	0.9948	0.9975	0.9958	0.9979	0.978584123	0.9406	0.9639	0.9357	0.9629000000000001	0.9328	0.9584999999999999	0.9415	0.9634999999999999	0.85952381
WES	101021-3	PCR	101021	0.995	0.9976	0.9945999999999999	0.9976999999999999	0.9948	0.9972	0.9943000000000001	0.998	0.97882157	0.9386	0.9629000000000001	0.9381999999999999	0.9639	0.9269	0.9553	0.9351	0.9609000000000001	0.860163891
WES	101555-1	PCR	101555	0.9962000000000001	0.996	0.9965999999999999	0.9974	0.9961	0.997	0.9968	0.9975	0.970696275	0.9423	0.9628	0.9439	0.9642000000000001	0.94	0.9603	0.9439	0.9653	0.827763496
WES	101555-2	PCR	101555	0.9965999999999999	0.9974	0.9962000000000001	0.9972	0.9965	0.9972	0.9964	0.9968	0.972690852	0.9447	0.9659	0.9453	0.9659	0.9404	0.9637	0.9394	0.9614	0.833068751
WES	101555-3	PCR	101555	0.9965	0.9971	0.9963	0.9971	0.9959	0.9958	0.9969	0.997	0.971312555	0.9445	0.9669	0.9476	0.9664	0.9423999999999999	0.9605	0.9439	0.9626	0.827252693
WES	101616-1	PCR	101616	0.9869	0.9123	0.9868000000000001	0.9111	0.9864	0.9037000000000001	0.9840000000000001	0.8959	0.877087064	0.8062999999999999	0.7226	0.8131999999999999	0.7159	0.7940999999999999	0.7066	0.8101	0.6994	0.566589139
WES	101616-2	PCR	101616	0.9876	0.9137000000000001	0.9864	0.9127	0.9861	0.9026000000000001	0.9837	0.8952	0.869814599	0.8105	0.7242000000000001	0.8065000000000001	0.7215	0.7948999999999999	0.7069	0.8123999999999999	0.6938	0.596770789
WES	101616-3	PCR	101616	0.9858	0.9125	0.9871	0.9105	0.9868000000000001	0.9022	0.9848	0.8942	0.876363078	0.8131999999999999	0.7212000000000001	0.8140999999999999	0.7145999999999999	0.7946	0.7016	0.8118000000000001	0.693	0.612767372
WES	101624-1	PCR	101624	0.9876	0.9901000000000001	0.9865999999999999	0.9902	0.9871	0.9899	0.9851000000000001	0.9886	0.946929328	0.8448	0.9354	0.8591	0.9337000000000001	0.853	0.9327	0.8531	0.9362999999999999	0.793661274
WES	101624-2	PCR	101624	0.9865999999999999	0.9898	0.9873999999999999	0.99	0.9873999999999999	0.9899	0.985	0.9890000000000001	0.947665309	0.8522	0.9337000000000001	0.8476	0.9320999999999999	0.8551000000000001	0.9286	0.8438	0.9315000000000001	0.779935275
WES	101624-3	PCR	101624	0.9869	0.99	0.9873999999999999	0.9902	0.9869	0.9901000000000001	0.9854999999999999	0.9887	0.948310379	0.8497	0.9296	0.8571	0.9386	0.8462000000000001	0.9294	0.8567	0.9298000000000001	0.810838102
WES	101629-1	PCR	101629	0.996	0.9915999999999999	0.9954999999999999	0.9915999999999999	0.9953	0.9878	0.9954999999999999	0.9903	0.964233834	0.9295	0.9362999999999999	0.9281	0.9348000000000001	0.9264	0.9231999999999999	0.9311	0.9281999999999999	0.805050505
WES	101629-2	PCR	101629	0.9948	0.9887999999999999	0.9951000000000001	0.9895999999999999	0.9954000000000001	0.9904999999999999	0.9954000000000001	0.9912000000000001	0.962267081	0.9248999999999999	0.9218999999999999	0.9224	0.9236	0.9335	0.9305	0.9262	0.9294	0.794684469
WES	101629-3	PCR	101629	0.9956999999999999	0.9902	0.9947	0.9911	0.9942	0.9879000000000001	0.9956999999999999	0.9891	0.964536398	0.9303	0.9329000000000001	0.9245	0.9275	0.924	0.9198000000000001	0.9255	0.9194	0.799546999
WES	101630ky-1	PCR	101630ky	0.9963	0.9947	0.996	0.995	0.9961	0.9954000000000001	0.9962000000000001	0.9954000000000001	0.990159377317	0.8673000000000001	0.9329000000000001	0.8593999999999999	0.9322	0.8606999999999999	0.9329000000000001	0.8562000000000001	0.9239	0.847046252481
